delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,400,unexp,134,2,11,space,0.43175970017910004,None,200,1,[2.5922607998363674],[2.592272900044918],11,2,134,0,603.8928551999852,,603.8872517999262,603.8928551999852,604.8789711999707,604.8789711999707,604.8858389002271,605.3178245001473,space,0.43175970017910004,None,605.3189294999465,605.4175391668143,605.7353505999781,605.7185482000932,605.719049999956,605.7353505999781,605.7353505999781,605.7353505999781,608.3279776000418,200,1,[2.5922607998363674],[2.592272900044918],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,1000,exp,135,3,11,space,0.35734259989112616,None,400,1,[1.937853999901563],[1.937862700317055],11,3,135,4,608.3346969000995,,608.3282401002944,608.3346969000995,609.3211985998787,609.3211985998787,609.3276827000082,609.6823495002463,space,0.35734259989112616,None,609.683052000124,610.0875463667946,610.4063778002746,610.3883664999157,610.3888655002229,610.4063778002746,610.4063778002746,610.4063778002746,612.3445727000944,400,1,[1.937853999901563],[1.937862700317055],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,1000,exp,136,4,11,space,0.25751900020986795,None,300,1,[1.7079684003256261],[1.7079771999269724],11,4,136,10,612.3507388001308,,612.3448159000836,612.3507388001308,613.3370791999623,613.3370791999623,613.3440288999118,613.6008462002501,space,0.25751900020986795,None,613.6017439002171,614.0003484669762,614.3139933003113,614.2985551999882,614.2990668001585,614.3139933003113,614.3139933003113,614.3139933003113,616.0222754999995,300,1,[1.7079684003256261],[1.7079771999269724],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,400,unexp,137,5,11,space,0.2489688997156918,None,200,1,[2.11682500038296],[2.116834600456059],11,5,137,2,616.0292420000769,,616.0225251000375,616.0292420000769,617.0150462002493,617.0150462002493,617.0220526000485,617.2654267000034,space,0.2489688997156918,None,617.2662380002439,617.9693922666522,618.2871177000925,618.2722201002762,618.2727733002976,618.2871177000925,618.2871177000925,618.2871177000925,620.404312599916,200,1,[2.11682500038296],[2.116834600456059],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,1000,exp,138,6,11,space,0.22925710026174784,None,400,1,[1.8214082000777125],[1.821423300076276],11,6,138,7,620.4102203003131,,620.4046074002981,620.4102203003131,621.3963938001543,621.3963938001543,621.4033508002758,621.6325632003136,space,0.22925710026174784,None,621.6334132999182,622.0383103667448,622.3480779998936,622.3362471000291,622.3366232002154,622.3480779998936,622.3480779998936,622.3480779998936,624.1699244002812,400,1,[1.8214082000777125],[1.821423300076276],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,1000,exp,139,7,11,space,0.23494540015235543,None,500,1,[1.8988157999701798],[1.8988246996887028],11,7,139,5,624.1762402001768,,624.1702414001338,624.1762402001768,625.1625350001268,625.1625350001268,625.1696429001167,625.3991955001839,space,0.23494540015235543,None,625.4001636998728,626.1033434668245,626.4141731001437,626.4009989001788,626.4014972001314,626.4141731001437,626.4141731001437,626.4141731001437,628.3133706999943,500,1,[1.8988157999701798],[1.8988246996887028],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,1000,exp,140,8,11,space,0.08897360041737556,None,600,1,[1.7865476999431849],[1.7865585000254214],11,8,140,8,628.3195755002089,,628.3136185002513,628.3195755002089,629.30784090003,629.30784090003,629.314784700051,629.3983061001636,space,0.08897360041737556,None,629.3988947002217,630.1051755669216,630.4127409001812,630.4018036001362,630.4021709002554,630.4127409001812,630.4127409001812,630.4127409001812,632.1996177001856,600,1,[1.7865476999431849],[1.7865585000254214],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,1000,exp,141,9,11,space,0.24054280016571283,None,700,1,[2.1271378002129495],[2.12714960006997],11,9,141,9,632.2061474001966,,632.199980000034,632.2061474001966,633.1923763002269,633.1923763002269,633.1994350003079,633.435966799967,space,0.24054280016571283,None,633.4368870998733,633.5354230669948,633.8533016000874,633.8358265999705,633.8362324000336,633.8533016000874,633.8533016000874,633.8533016000874,635.980783500243,700,1,[2.1271378002129495],[2.12714960006997],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,1000,exp,142,10,11,space,0.22972619999200106,None,800,1,[2.4426182000897825],[2.442628300283104],11,10,142,6,635.9866631999612,,635.9810470002703,635.9866631999612,636.9732066001743,636.9732066001743,636.9800753002055,637.2090648002923,space,0.22972619999200106,None,637.2100256001577,637.3089584666925,637.626540900208,637.6117219002917,637.6121004000306,637.626540900208,637.626540900208,637.626540900208,640.0695009999909,800,1,[2.4426182000897825],[2.442628300283104],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,400,unexp,143,11,11,space,0.11876640003174543,None,400,1,[1.9894262002781034],[1.9894368001259863],11,11,143,1,640.075473099947,,640.069764399901,640.075473099947,641.0619160002097,641.0619160002097,641.0688799000345,641.1870502000675,space,0.11876640003174543,None,641.187712199986,641.5925454665596,641.9097711001523,641.8956470000558,641.8960079001263,641.9097711001523,641.9097711001523,641.9097711001523,643.899532600306,400,1,[1.9894262002781034],[1.9894368001259863],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.7,1000,exp,144,0,12,space,0.22490769997239113,None,500,1,[1.7603756999596953],[1.760391800198704],12,0,144,8,643.9050481002778,,643.8998135998845,643.9050481002778,644.8913515000604,644.8913515000604,644.8983104000799,645.1214574002661,space,0.22490769997239113,None,645.1223186999559,645.8249326665575,646.1357424003072,646.1217164001428,646.1223202003166,646.1357424003072,646.1357424003072,646.1357424003072,647.8965847003274,500,1,[1.7603756999596953],[1.760391800198704],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,1000,exp,145,1,12,space,0.2734389998950064,None,500,1,[1.884387199766934],[1.8844026997685432],12,1,145,7,647.9054707000032,,647.8969805999659,647.9054707000032,648.8891337001696,648.8891337001696,648.8963361000642,649.1671555000357,space,0.2734389998950064,None,649.1675702999346,649.5723539665962,649.8912114999257,649.8736069998704,649.8741057002917,649.8912114999257,649.8912114999257,649.8912114999257,651.7760498002172,500,1,[1.884387199766934],[1.8844026997685432],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,1000,exp,146,2,12,space,0.21114990022033453,None,600,1,[1.9627998997457325],[1.9628081996925175],12,2,146,3,651.7828116999008,,651.7766468999907,651.7828116999008,652.7702089003287,652.7702089003287,652.7772312001325,652.9855515002273,space,0.21114990022033453,None,652.986147900112,653.0854065665665,653.4029280999675,653.3866357002407,653.387006400153,653.4029280999675,653.4029280999675,653.4029280999675,655.365997500252,600,1,[1.9627998997457325],[1.9628081996925175],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,1000,exp,147,3,12,space,0.10718980012461543,None,500,1,[2.4576902999542654],[2.457700800150633],12,3,147,6,655.3724572001956,,655.3662168001756,655.3724572001956,656.3584648999386,656.3584648999386,656.3661895999685,656.470069100149,space,0.10718980012461543,None,656.4710190999322,656.569563466652,656.8769586998969,656.8686239002272,656.8688981002197,656.8769586998969,656.8769586998969,656.8769586998969,659.3349812999368,500,1,[2.4576902999542654],[2.457700800150633],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,1000,exp,148,4,12,space,0.19640980008989573,None,560,1,[3.7767602000385523],[3.776768899988383],12,4,148,10,659.3410696000792,,659.3352713002823,659.3410696000792,660.3272835998796,660.3272835998796,660.3342697001062,660.5289533003233,space,0.19640980008989573,None,660.529548200313,660.934157466578,661.2526874002069,661.2360761999153,661.2367378999479,661.2526874002069,661.2526874002069,661.2526874002069,665.0297920000739,560,1,[3.7767602000385523],[3.776768899988383],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.1,400,unexp,149,5,12,space,0.2508454001508653,None,300,1,[1.9145766999572515],[1.9145855996757746],12,5,149,0,665.0360308000818,,665.0300386003219,665.0360308000818,666.0220510000363,666.0220510000363,666.0292897000909,666.2795800999738,space,0.2508454001508653,None,666.2805202002637,666.379121166716,666.6967911003157,666.6846491000615,666.685018800199,666.6967911003157,666.6967911003157,666.6967911003157,668.6116725001484,300,1,[1.9145766999572515],[1.9145855996757746],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
0.4,400,unexp,150,6,12,space,0.19036079989746213,None,300,1,[1.9736758996732533],[1.9736846997402608],12,6,150,1,668.6178671000525,,668.6119182999246,668.6178671000525,669.6038697999902,669.6038697999902,669.6108478000388,669.7986155003309,space,0.19036079989746213,None,669.7995223002508,670.1983618667039,670.5220345999114,670.5029066000134,670.5034052003175,670.5220345999114,670.5220345999114,670.5220345999114,672.4960439000279,300,1,[1.9736758996732533],[1.9736846997402608],1,001,2025-11-13_19h13.13.684,intentional_binding,,2025.1.1,127.93367924758672,2025-11-13 19h13.19.641666 +0530,
