pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,92,0,23,x,1,0.31694919988512993,None,23,0,92,0,,,,,236.13720060000196,,236.12478009983897,236.13720060000196,237.13739469996653,237.13739469996653,237.13739469996653,237.13739469996653,237.13739469996653,238.13757529994473,238.13757529994473,238.45777489989996,x,1,0.31694919988512993,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
150,v,93,1,23,v,1,0.6726354998536408,None,23,1,93,1,,,,,238.4708104999736,,238.45813699997962,238.4708104999736,239.47039979998954,239.47039979998954,239.47039979998954,239.47039979998954,239.47039979998954,240.4704163998831,240.4704163998831,241.15783009980805,v,1,0.6726354998536408,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
50,c,94,2,23,c,1,0.4604138999711722,None,23,2,94,2,,,,,241.16999599989504,,241.15818199981004,241.16999599989504,242.16991519997828,242.16991519997828,242.16991519997828,242.16991519997828,242.16991519997828,243.17090729996562,243.17090729996562,243.64052489981987,c,1,0.4604138999711722,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,95,3,23,z,1,0.28592030005529523,None,23,3,95,3,,,,,243.65381879988126,,243.64108359999955,243.65381879988126,244.65395589987747,244.65395589987747,244.65395589987747,244.65395589987747,244.65395589987747,245.65358769986778,245.65358769986778,245.9407924998086,z,1,0.28592030005529523,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-50,x,96,0,24,x,1,0.3588001001626253,None,24,0,96,0,,,,,245.9539186998736,,245.94115199986845,245.9539186998736,246.95410849992186,246.95410849992186,246.95410849992186,246.95410849992186,246.95410849992186,247.95354170002975,247.95354170002975,248.32431839988567,x,1,0.3588001001626253,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
150,v,97,1,24,v,1,0.6808784999884665,None,24,1,97,1,,,,,248.33677019993775,,248.32468239986338,248.33677019993775,249.33668039995246,249.33668039995246,249.33668039995246,249.33668039995246,249.33668039995246,250.336753499927,250.336753499927,251.0235339999199,v,1,0.6808784999884665,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
50,c,98,2,24,c,1,0.43327419995330274,None,24,2,98,2,,,,,251.03745699999854,,251.02388999983668,251.03745699999854,252.03700320003554,252.03700320003554,252.03700320003554,252.03700320003554,252.03700320003554,253.0366781000048,253.0366781000048,253.47413799981587,c,1,0.43327419995330274,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-150,z,99,3,24,z,1,0.3342087999917567,None,24,3,99,3,,,,,253.48658899986185,,253.47449409984984,253.48658899986185,254.48627889994532,254.48627889994532,254.48627889994532,254.48627889994532,254.48627889994532,255.4858985999599,255.4858985999599,255.82314069988206,z,1,0.3342087999917567,None,,,,,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
-50,x,0,0,0,x,1,0.36504890001378953,None,,,,,0,0,0,0,255.85197419999167,,255.84407899994403,255.85197419999167,256.8365757998545,256.8365757998545,256.8365757998545,256.8365757998545,256.85326809994876,257.8364329999313,257.8364329999313,258.20679979980923,,,,,x,1,0.36504890001378953,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
50,c,1,1,0,c,1,0.5940427000168711,None,,,,,0,1,1,2,258.2192156999372,,258.2072502998635,258.2192156999372,259.21951249986887,259.21951249986887,259.21951249986887,259.21951249986887,259.21951249986887,260.219286599895,260.219286599895,260.82229859987274,,,,,c,1,0.5940427000168711,None,4,001,2025-10-05_17h58.15.117,untitled,,2025.1.1,60.05511857406457,2025-10-05 17h58.19.418805 +0530,
