thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
77,0,77,[np.float64(-0.31)],[np.float64(0.47833333333333333)],[1],[0],[0],[2.386756599880755],['target'],77,0,77,0,165.1565928000491,,5,165.1473921998404,165.1565928000491,165.1565928000491,0.008747100131586194,167.5342065000441,[np.float64(-0.31)],[np.float64(0.47833333333333333)],[1],[0],[0],[2.386756599880755],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
78,0,78,[np.float64(-0.13666666666666666)],[np.float64(-0.13833333333333334)],[1],[0],[0],[2.01146569987759],['target'],78,0,78,0,167.55846689990722,,10,167.55029469984584,167.55846689990722,167.55846689990722,0.015981700038537383,169.561825199984,[np.float64(-0.13666666666666666)],[np.float64(-0.13833333333333334)],[1],[0],[0],[2.01146569987759],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
79,0,79,[np.float64(-0.32166666666666666)],[np.float64(-0.285)],[1],[0],[0],[1.630557700060308],['target'],79,0,79,0,169.57988419989124,,5,169.56992609985173,169.57988419989124,169.57988419989124,0.008010700112208724,171.2005278998986,[np.float64(-0.32166666666666666)],[np.float64(-0.285)],[1],[0],[0],[1.630557700060308],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
80,0,80,[np.float64(-0.235)],[np.float64(-0.2966666666666667)],[1],[0],[0],[1.47089340002276],['target'],80,0,80,0,171.22552899993025,,10,171.21598350000568,171.22552899993025,171.22552899993025,0.015384099911898375,172.68693419988267,[np.float64(-0.235)],[np.float64(-0.2966666666666667)],[1],[0],[0],[1.47089340002276],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
81,0,81,[np.float64(0.05333333333333334)],[np.float64(0.27)],[1],[0],[0],[3.122686499962583],['target'],81,0,81,0,172.7112441000063,,10,172.70308210002258,172.7112441000063,172.7112441000063,0.01601500017568469,175.8258255000692,[np.float64(0.05333333333333334)],[np.float64(0.27)],[1],[0],[0],[3.122686499962583],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
82,0,82,[np.float64(0.405)],[np.float64(-0.09666666666666666)],[1],[0],[0],[2.115092599997297],['target'],82,0,82,0,175.8501585999038,,10,175.84241409995593,175.8501585999038,175.8501585999038,0.016456699930131435,177.9575509999413,[np.float64(0.405)],[np.float64(-0.09666666666666666)],[1],[0],[0],[2.115092599997297],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
83,0,83,[np.float64(-0.3883333333333333)],[np.float64(0.49666666666666665)],[1],[0],[0],[2.935461999848485],['target'],83,0,83,0,177.97519210004248,,5,177.96641210000962,177.97519210004248,177.97519210004248,0.008719600038602948,180.9019185998477,[np.float64(-0.3883333333333333)],[np.float64(0.49666666666666665)],[1],[0],[0],[2.935461999848485],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
84,0,84,[np.float64(0.26166666666666666)],[np.float64(-0.018333333333333333)],[1],[0],[0],[1.6655566000845283],['target'],84,0,84,0,180.92004120000638,,5,180.910591899883,180.92004120000638,180.92004120000638,0.008600100176408887,182.57620709994808,[np.float64(0.26166666666666666)],[np.float64(-0.018333333333333333)],[1],[0],[0],[1.6655566000845283],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
85,0,85,[np.float64(0.01)],[np.float64(0.22)],[1],[0],[0],[1.4274119001347572],['target'],85,0,85,0,182.59417840000242,,5,182.58516849996522,182.59417840000242,182.59417840000242,0.008702800143510103,184.0126236998476,[np.float64(0.01)],[np.float64(0.22)],[1],[0],[0],[1.4274119001347572],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
86,0,86,[np.float64(-0.14833333333333334)],[np.float64(-0.26)],[1],[0],[0],[1.4920489001087844],['target'],86,0,86,0,184.03168209991418,,5,184.02099919994362,184.03168209991418,184.03168209991418,0.008303199894726276,185.51309100002982,[np.float64(-0.14833333333333334)],[np.float64(-0.26)],[1],[0],[0],[1.4920489001087844],['target'],4,001,2025-10-01_15h57.22.233,untitled,,2025.1.1,144.47025660036988,2025-10-01 15h57.30.244339 +0530,
